ID,Název,Zeměpisná šířka,Zeměpisná délka
2046,Blíževedly,50.61359,14.3953619
2046,Blíževedly,50.6087265,14.397315
57,Blíževedly,Skalka,rozc.,50.58583,14.4084892
57,Blíževedly,Skalka,rozc.,50.5857658,14.4083614
67,Blšany u Loun,50.3477058,13.8490305
67,Blšany u Loun,50.3476753,13.8490944
60,Blšany,Liběšovice,50.24604,13.5009842
60,Blšany,Liběšovice,50.2459869,13.5010853
2573,Blšany,Liběšovice,rozc.,0.0,0.0
2573,Blšany,Liběšovice,rozc.,0.0,0.0
59,Blšany,Liběšovice,Čárka,50.2388077,13.495122
59,Blšany,Liběšovice,Čárka,50.2388649,13.4951725
61,Blšany,Malá Černoc,50.2069244,13.5487375
61,Blšany,Malá Černoc,50.20705,13.5487232
3053,Blšany,Malá Černoc,pošta,50.2030373,13.5488625
3053,Blšany,Malá Černoc,pošta,50.2030334,13.549017
62,Blšany,Siřem,50.2336273,13.505477
62,Blšany,Siřem,50.23361,13.505661
64,Blšany,Soběchleby,50.2150879,13.5161266
64,Blšany,Soběchleby,50.2152252,13.5159578
63,Blšany,Soběchleby,rozc.,50.21608,13.5124683
63,Blšany,Soběchleby,rozc.,50.21605,13.5129385
65,Blšany,Stachov,50.2190552,13.49331
65,Blšany,Stachov,50.218956,13.4935675
66,Blšany,nám.,50.2174225,13.4714193
66,Blšany,nám.,50.2173576,13.471488
66,Blšany,nám.,50.2178154,13.4709549
3016,Bochov,Herstošice,50.1420174,13.0999651
3016,Bochov,Herstošice,50.142086,13.1005335
3014,Bochov,SÚS,50.1488228,13.05192
3014,Bochov,SÚS,50.1489067,13.0519876
3013,Bochov,nám.,50.1502647,13.0454082
3013,Bochov,nám.,50.1503639,13.0454912
3015,Bochov,Údrč,rozc.Skoky,50.14373,13.0886984
3015,Bochov,Údrč,rozc.Skoky,50.1439552,13.0882254
2841,Bohosudov zastávka,0.0,0.0
71,Bohušovice n. Ohří,50.4912,14.1497908
71,Bohušovice n.Ohří,50.4912,14.1497908
2960,Bohušovice n.Ohří,Hrdly,50.4836655,14.1737041
2960,Bohušovice n.Ohří,Hrdly,50.4837952,14.1740446
68,Bohušovice n.Ohří,Hrdly,obec,50.4842834,14.17028
68,Bohušovice n.Ohří,Hrdly,obec,50.4841423,14.1703253
69,Bohušovice n.Ohří,sídliště,50.4960556,14.1464539
69,Bohušovice n.Ohří,sídliště,50.49686,14.1464043
70,Bohušovice n.Ohří,záv.,50.5019951,14.1460638
70,Bohušovice n.Ohří,záv.,50.5026474,14.1460333
71,Bohušovice n.Ohří,žel.st.,50.491684,14.149003
71,Bohušovice nad Ohří,50.4912,14.1497908
73,Boleboř,50.5399,13.4139214
73,Boleboř,50.5398064,13.4138727
2491,Boleboř,Svahová,50.5551224,13.4080648
2491,Boleboř,Svahová,50.5550575,13.4079514
72,Boleboř,rozc.Orasín 1.0,50.53637,13.4154882
72,Boleboř,rozc.Orasín 1.0,50.5360565,13.4155207
2048,Boletice n.Labem,50.7337723,14.1879025
2048,Boletice nad Labem,50.7337723,14.1879025
2528,Boč,50.35948,13.0822239
2909,Bořanovice,50.17722,14.4844141
2909,Bořanovice,50.17678,14.4843121
76,Bořislav,50.5801773,13.9283438
76,Bořislav,50.5799828,13.928688
2049,Bořislav (žst),50.58555,13.9369707
2049,Bořislav (žst),50.58555,13.9369707
74,Bořislav,obchod,50.5811348,13.9308519
74,Bořislav,obchod,50.5811844,13.9312963
75,Bořislav,školka,50.583374,13.9366636
75,Bořislav,školka,50.5834846,13.9366531
78,Boží Dar,CLO,50.4097366,12.9341383
77,Boží Dar,Klínovec,rozc.,50.4023666,12.9512129
77,Boží Dar,Klínovec,rozc.,50.40225,12.951128
79,Boží Dar,u kostela,50.4090233,12.9247293
79,Boží Dar,u kostela,50.4091225,12.9247046
84,Brandov,50.6272774,13.393858
84,Brandov,50.6271629,13.3938274
2378,Brandov,,CLO,50.64959,13.37093
2378,Brandov,,CLO,50.64959,13.37093
2434,Brandov,,Na Čáře,50.64966,13.3724146
2434,Brandov,,Na Čáře,50.6497,13.3725481
87,Brandov,ObÚ,50.63417,13.38831
87,Brandov,ObÚ,50.633934,13.3883238
85,Brandov,odb.Kolonie,50.6387024,13.3836546
85,Brandov,odb.Kolonie,50.6386337,13.383585
83,Brandov,u hřiště,50.6409,13.3812284
83,Brandov,u hřiště,50.64084,13.3810854
82,Brandov,u kostela,50.6319923,13.3909035
82,Brandov,u kostela,50.6317177,13.3912411
2565,Brandýs n.L.-Stará Boleslav,přístaviště,50.1897469,14.6662731
81,Braňany,50.542408,13.7009077
81,Braňany,50.5426865,13.7007866
80,Braňany,závod,50.541893,13.7125635
2051,Brniště,50.722538,14.7086058
2051,Brniště,50.722538,14.7086058
2051,Brniště,50.722538,14.7086058
2702,Brodce,50.3505745,13.2307854
91,Brodec,50.29352,13.7968969
91,Brodec,50.29346,13.7969112
90,Brodec,rozc.2.0,50.3016624,13.8207874
90,Brodec,rozc.2.0,50.3017731,13.82099
93,Brozany n.Ohří,50.4542236,14.1462164
92,Brozany n.Ohří,křiž.,50.45823,14.1370993
92,Brozany n.Ohří,křiž.,50.45865,14.1362724
92,Brozany n.Ohří,křiž.,50.4584236,14.1370907
1420,Brozánky,50.6085739,13.9366779
1420,Brozánky,50.6085777,13.9366779
2052,Brtníky,50.951828,14.4386768
2052,Brtníky,50.951828,14.4386768
94,Brzánky,rozc.,50.4662361,14.2921772
94,Brzánky,rozc.,50.4665337,14.2923536
89,Brňany,50.48147,14.14176
89,Brňany,50.4814224,14.1418686
88,Brňany,záv.,50.4878273,14.1460142
88,Brňany,záv.,50.48767,14.1460781
103,Budyně n.Ohří,Břežany n.Ohří,50.41109,14.1148615
103,Budyně n.Ohří,Břežany n.Ohří,50.4110146,14.1147223
104,Budyně n.Ohří,Kostelec n.Ohří,50.3934364,14.0937195
104,Budyně n.Ohří,Kostelec n.Ohří,50.39337,14.0938187
105,Budyně n.Ohří,Nížebohy,50.4125023,14.1785393
105,Budyně n.Ohří,Nížebohy,50.412323,14.1788454
105,Budyně n.Ohří,Nížebohy,50.4125748,14.17793
105,Budyně n.Ohří,Nížebohy,50.4129181,14.1790447
109,Budyně n.Ohří,Pražská,50.4044838,14.1296539
106,Budyně n.Ohří,Písty,50.4233131,14.1593924
106,Budyně n.Ohří,Písty,50.4233322,14.1595736
107,Budyně n.Ohří,Roudníček,50.3897972,14.113945
107,Budyně n.Ohří,Roudníček,50.38975,14.1137705
110,Budyně n.Ohří,Slánská,50.3981438,14.1232166
110,Budyně n.Ohří,Slánská,50.3981819,14.1233358
108,Budyně n.Ohří,Vrbka,50.39175,14.1411381
108,Budyně n.Ohří,Vrbka,50.39184,14.1410608
111,Budyně n.Ohří,škola,50.4023,14.1285315
111,Budyně n.Ohří,škola,50.4023857,14.1286268
112,Budyně n.Ohří,žel.st.,50.40594,14.132514
112,Budyně n.Ohří,žel.st.,50.40589,14.1332769
2410,Budyně nad Ohří,50.4050827,14.1343451
2410,Budyně nad Ohří,50.4050827,14.1343451
116,Bylany,50.467,13.604641
116,Bylany,50.4668655,13.6046
120,Bynovec,50.820446,14.2639427
120,Bynovec,50.8205528,14.2638054
120,Bynovec,50.8219452,14.2648315
119,Bynovec,hřiště,50.82425,14.2632332
119,Bynovec,hřiště,50.8241348,14.2636881
119,Bynovec,hřiště,50.8242,14.2634735
2057,Bystřany v Čechách,50.62553,13.8628435
2057,Bystřany v Čechách,50.62553,13.8628435
126,Bystřany,Domov důchodců,50.62414,13.8617239
126,Bystřany,Domov důchodců,50.6249046,13.8610659
128,Bystřany,Máchovy sady,50.62831,13.86458
121,Bystřany,Nové Dvory,50.62207,13.8725958
121,Bystřany,Nové Dvory,50.62113,13.8739824
127,Bystřany,hřbitov,50.6321754,13.8523951
125,Bystřany,Úpořiny,50.61186,13.8806686
125,Bystřany,Úpořiny,50.6118126,13.8815384
125,Bystřany,Úpořiny,50.6118622,13.8819351
122,Bystřany,Úpořiny,has.zbroj.,50.6140327,13.8798447
122,Bystřany,Úpořiny,has.zbroj.,50.6142159,13.8798141
123,Bystřany,Úpořiny,host.,50.6155548,13.87486
123,Bystřany,Úpořiny,host.,50.61572,13.874815
124,Bystřany,Úpořiny,rozc.,50.6100044,13.8833733
124,Bystřany,Úpořiny,rozc.,50.60992,13.8835869
129,Bystřany,škola,50.6204567,13.866518
129,Bystřany,škola,50.6206169,13.866396
130,Bystřany,žel.přejezd,50.627388,13.8580961
130,Bystřany,žel.přejezd,50.6276321,13.8579674
2548,Bärenstein,0.0,0.0
2548,Bärenstein,50.5076027,13.0299377
11,Bärenstein,Kühlberg,B 95,50.52247,13.0309629
11,Bärenstein,Kühlberg,B 95,50.5221634,13.0308113
12,Bärenstein,Ortseingang,50.5085754,13.0267906
12,Bärenstein,Ortseingang,50.5076675,13.0267935
13,Bärenstein,Turnhalle,50.50188,13.0277
13,Bärenstein,Turnhalle,50.5017967,13.0275993
14,Bärenstein,ZOLL,0.0,0.0
31,Bílence,50.42068,13.50433
31,Bílence,50.4207649,13.5041676
3048,Bílichov,50.2621765,13.9135818
3048,Bílichov,50.2622871,13.9135561
3049,Bílichov,u křížku,50.2615433,13.9181309
3049,Bílichov,u křížku,50.2616425,13.9181442
32,Bílina,50.55469,13.7720213
32,Bílina,50.55469,13.7720213
2043,Bílina kyselka,50.5415154,13.7596369
2043,Bílina kyselka,50.5415154,13.7596369
10001,Bílina,,5.května,50.5432167,13.7668877
10002,Bílina,,5.května samoobsluha,50.5443649,13.7708549
10003,Bílina,,Břežánská,50.5491753,13.7716894
10006,Bílina,,Jakoubkova,50.56002,13.7804813
10007,Bílina,,Jeníšovská,50.54002,13.7790651
10009,Bílina,,Mírová,50.5413551,13.7667856
10010,Bílina,,Na Výsluní,50.5473442,13.7616625
10011,Bílina,,PP II Jižní,50.5401039,13.7699785
10012,Bílina,,PP II okály,50.5403862,13.7737093
10015,Bílina,,SUNN,50.55349,13.7742434
10016,Bílina,,Teplická,50.55268,13.7750549
10018,Bílina,,VMG zast.,50.5591354,13.768014
10005,Bílina,,hřbitov,50.5477753,13.765955
10008,Bílina,,kino,50.5480042,13.7698851
10013,Bílina,,sídl.ZCH Jednota,50.5523262,13.7857885
10014,Bílina,,sídl.ZCH výtopna,50.5563354,13.7873783
10017,Bílina,,u Holubů,50.5433235,13.7778091
10019,Bílina,,výkup,50.5553665,13.7695522
10004,Bílina,,ČSA,50.55844,13.7834578
10020,Bílina,,žel.st.,50.5538063,13.772768
33,Bílina,Lidl,0.0,0.0
33,Bílina,Lidl,50.5463676,13.7709866
37,Bílina,PP II škola,50.54235,13.7768936
41,Bílina,VMG I,50.56256,13.7686453
32,Bílina,aut.nádr.,50.5531654,13.7727
32,Bílina,aut.nádr.,50.5529976,13.7726679
32,Bílina,aut.nádr.,50.55283,13.7726212
32,Bílina,aut.nádr.,50.5530472,13.7725
32,Bílina,aut.nádr.,50.552887,13.77245
32,Bílina,aut.nádr.,50.55273,13.7724161
34,Bílina,nám.,50.5487061,13.7747736
35,Bílina,poliklinika,50.5404663,13.7826643
35,Bílina,poliklinika,50.540657,13.7827272
36,Bílina,pož.zbroj.,50.5504074,13.7752676
36,Bílina,pož.zbroj.,50.5502052,13.775425
38,Bílina,sídl.ZCH Litoměřická,50.5514641,13.78721
38,Bílina,sídl.ZCH Litoměřická,50.5513458,13.78768
39,Bílina,sídl.ZCH sběrna,50.55434,13.7853231
39,Bílina,sídl.ZCH sběrna,50.55478,13.785388
40,Bílina,sídliště,50.55826,13.7785387
40,Bílina,sídliště,50.5576553,13.7782164
2044,Bílina-Chudeřice,50.5719566,13.7865562
2044,Bílina-Chudeřice,50.5719566,13.7865562
2045,Bílý Kostel n.Nisou,0.0,0.0
2920,Býkev,50.34716,14.4168015
2921,Býkev,Jenišovice,50.3470421,14.4015207
2921,Býkev,Jenišovice,50.3469276,14.4017267
115,Býčkovice,50.5598,14.2137794
115,Býčkovice,50.55965,14.213542
113,Býčkovice,Velký Újezd,50.5448837,14.2157269
113,Býčkovice,Velký Újezd,50.5448647,14.2158165
114,Býčkovice,rozc.,50.5518646,14.214488
114,Býčkovice,rozc.,50.551857,14.21449
114,Býčkovice,rozc.,50.5519638,14.2142954
114,Býčkovice,rozc.,50.5519638,14.2142954
23,Bělušice,50.4492836,13.762517
23,Bělušice,50.4494438,13.7621946
2403,Bělušice,50.4521065,13.767148
2403,Bělušice (žst),50.4521065,13.767148
17,Bělušice,Bedřichův Světec,50.45143,13.7529716
17,Bělušice,Bedřichův Světec,50.45151,13.7527542
16,Bělušice,Bedřichův Světec,rozc.,50.45945,13.7542648
16,Bělušice,Bedřichův Světec,rozc.,50.4593277,13.7542944
21,Bělušice,ObÚ,50.4491234,13.7645884
1181,Bělušice,Odolice,osada,50.44228,13.7737
1182,Bělušice,Odolice,rozc.,50.4412155,13.7814
1182,Bělušice,Odolice,rozc.,50.4416046,13.7815809
22,Bělušice,rozc.1.0,50.45261,13.76662
22,Bělušice,rozc.1.0,50.45238,13.7668858
2041,Bělá p.Bezdězem,0.0,0.0
2450,Bělá p.Bezdězem město,0.0,0.0
2449,Bělá p.Bezdězem zastávka,0.0,0.0
2041,Bělá pod Bezdězem,0.0,0.0
2053,Březiny u Děčína,50.76107,14.243351
2053,Březiny u Děčína,50.76107,14.243351
2053,Březiny u Děčína,50.76107,14.243351
2054,Březno u Chomutova,50.3955956,13.4216223
2054,Březno u Chomutova,50.3955956,13.4216223
2055,Březno u Postoloprt,50.3514481,13.72251
2055,Březno u Postoloprt,50.3514481,13.72251
2055,Březno u Postoloprt,50.3514481,13.72251
2055,Březno u Postoloprt (před st.budovou),50.3514481,13.72251
1134,Březno,Nechranice,50.36921,13.4200573
1133,Březno,Nechranice,na mostě,50.3705,13.4190845
1133,Březno,Nechranice,na mostě,50.37049,13.4191866
95,Březno,Stranná,50.3703346,13.4503021
2683,Březno,Střezov,0.0,0.0
2683,Březno,Střezov,0.0,0.0
96,Březno,Střezov,rozc.0.2,50.3910751,13.4345112
96,Březno,Střezov,rozc.0.2,50.3911629,13.4345617
98,Březno,Vičice,50.3709869,13.4345655
98,Březno,Vičice,50.37104,13.4345531
97,Březno,Vičice,rozc.2.0,50.37968,13.4300518
97,Březno,Vičice,rozc.2.0,50.37963,13.430007
99,Březno,důl,50.3964,13.4157562
100,Březno,zdrav.stř.,50.3999672,13.42376
100,Březno,zdrav.stř.,50.4000359,13.4240856
2411,Břežany nad Ohří,50.4122124,14.1173592
2411,Břežany nad Ohří,50.4122124,14.1173592
2056,Břvany,50.4080353,13.72311
2056,Břvany,50.4080353,13.72311
102,Břvany,host.,50.4016876,13.7236881
101,Bříza,50.360218,14.2167177
101,Bříza,50.3602638,14.2165508
2234,Bříza obec,50.3635674,14.2185516
2234,Bříza obec,50.3638649,14.2194014
137,Bžany,50.5895958,13.8784351
137,Bžany,50.5898933,13.8776112
132,Bžany,Hradiště,50.594368,13.8707962
132,Bžany,Hradiště,50.5944138,13.8709011
131,Bžany,Hradiště,rozc.,50.59015,13.8698473
131,Bžany,Hradiště,rozc.,50.5904427,13.8698082
131,Bžany,Hradiště,rozc.,50.5903625,13.8692055
133,Bžany,Lbín,50.6045151,13.8599119
133,Bžany,Lbín,50.604538,13.8603611
134,Bžany,Lhenice,50.5748672,13.86525
134,Bžany,Lhenice,50.5748024,13.8653231
135,Bžany,Lysec,50.60283,13.8639622
135,Bžany,Lysec,50.6029778,13.863533
136,Bžany,Mošnov,50.58066,13.8769608
136,Bžany,Mošnov,50.58052,13.8767347
456,Chabařovice,Besta,50.6837234,13.924181
456,Chabařovice,Besta,50.6846466,13.923028
457,Chabařovice,Chabařovická,50.66388,13.96763
457,Chabařovice,Chabařovická,50.66403,13.9676676
452,Chabařovice,Hrbovice,50.6612434,13.9732847
452,Chabařovice,Hrbovice,50.6614456,13.97311
460,Chabařovice,Petri,50.66923,13.954257
460,Chabařovice,Petri,50.6690445,13.9550991
462,Chabařovice,Ravel,50.66755,13.9592829
462,Chabařovice,Ravel,50.6675,13.9597368
455,Chabařovice,Roudníky,50.65135,13.9191751
455,Chabařovice,Roudníky,50.65132,13.9189806
454,Chabařovice,Roudníky,Marie Antonie,50.6552429,13.9149036
454,Chabařovice,Roudníky,Marie Antonie,50.65511,13.9148483
453,Chabařovice,Roudníky,dílny,50.66466,13.9178782
453,Chabařovice,Roudníky,dílny,50.6647453,13.9177742
464,Chabařovice,Teplická,50.6787949,13.9334345
464,Chabařovice,Teplická,50.678978,13.9335222
458,Chabařovice,kostel,50.6739845,13.938015
458,Chabařovice,kostel,50.6739349,13.938983
459,Chabařovice,koupaliště,50.67843,13.9393368
459,Chabařovice,koupaliště,50.67724,13.938921
461,Chabařovice,radnice,50.67224,13.9440708
461,Chabařovice,radnice,50.6722755,13.9453344
463,Chabařovice,strojírny,50.689537,13.9426928
463,Chabařovice,strojírny,50.6896439,13.942997
465,Chabařovice,záv.,50.66368,13.9295769
465,Chabařovice,záv.,50.66367,13.9295368
2406,Charvatce,50.3593521,14.14857
2406,Charvatce,50.3593521,14.14857
469,Chbany,50.3325577,13.4294739
469,Chbany,50.3326073,13.4293337
394,Chbany,Hořenice,rozc.,50.33693,13.3443136
394,Chbany,Hořenice,rozc.,50.3370323,13.3441887
1011,Chbany,Malé Krhovice,50.33549,13.3775768
1011,Chbany,Malé Krhovice,50.33548,13.37738
1010,Chbany,Malé Krhovice,rozc.,50.333683,13.3769541
1010,Chbany,Malé Krhovice,rozc.,50.3337479,13.3767548
467,Chbany,Poláky,50.3358841,13.3528175
467,Chbany,Poláky,50.3359566,13.3527431
466,Chbany,Poláky,točna,50.3359337,13.3543692
466,Chbany,Poláky,točna,50.3359337,13.3543692
1342,Chbany,Přeskaky,rozc.,50.3323479,13.4185352
1342,Chbany,Přeskaky,rozc.,50.3324051,13.4184036
1450,Chbany,Soběsuky,rozc.,50.3448257,13.4282446
1450,Chbany,Soběsuky,rozc.,50.3448257,13.4282446
1787,Chbany,Vadkovice,50.339817,13.3852158
1787,Chbany,Vadkovice,50.3398628,13.385149
1786,Chbany,Vadkovice,rozc.,50.3332,13.387969
1786,Chbany,Vadkovice,rozc.,50.3332748,13.38784
1899,Chbany,Vikletice,50.3482742,13.4028387
1899,Chbany,Vikletice,50.34836,13.4027481
1898,Chbany,Vikletice,přehrada,50.34626,13.4160337
1898,Chbany,Vikletice,přehrada,50.3464241,13.4158392
468,Chbany,rozc.Chudeřín,50.33313,13.44684
468,Chbany,rozc.Chudeřín,50.3331871,13.4467125
2101,Cheb,0.0,0.0
2101,Cheb,0.0,0.0
2642,Chemnitz,Omnibusbahnhof,0.0,0.0
478,Chlumec,50.6973877,13.9405537
478,Chlumec,50.6975632,13.9405994
2839,Chlumec u Chabařovic,0.0,0.0
475,Chlumec,Stradov,50.6935959,13.9215946
475,Chlumec,Stradov,50.6936378,13.9217424
476,Chlumec,Zalužanská,50.6967163,13.9332409
476,Chlumec,Zalužanská,50.6965675,13.9328747
474,Chlumec,Žandov,rozc.,50.7036476,13.94943
474,Chlumec,Žandov,rozc.,50.70354,13.9496546
477,Chlumec,žel.přejezd,50.6904526,13.945673
477,Chlumec,žel.přejezd,50.6905479,13.9458952
2102,Chlumčany u Loun,50.3444023,13.8456364
2102,Chlumčany u Loun,50.3444023,13.8456364
470,Chlumčany,Vlčí,50.3333321,13.851903
471,Chlumčany,motorest,50.33156,13.8406687
471,Chlumčany,motorest,50.331913,13.8406086
472,Chlumčany,obec,50.33363,13.8436842
472,Chlumčany,obec,50.33359,13.84352
472,Chlumčany,obec,50.3342133,13.8428965
472,Chlumčany,obec,50.3343239,13.84333
473,Chlumčany,žel.st.,50.3393173,13.8427734
473,Chlumčany,žel.st.,50.33923,13.8426218
480,Chodouny,50.4721069,14.250186
480,Chodouny,50.4722633,14.250308
479,Chodouny,Lounky,50.4801331,14.2395058
479,Chodouny,Lounky,50.4801445,14.239646
2103,Chodov,0.0,0.0
2103,Chodov,0.0,0.0
481,Chodovlice,50.4633446,13.9934912
481,Chodovlice,50.4634132,13.9941444
510,Chomutov,50.4565659,13.3989124
510,Chomutov,50.45568,13.3961382
2104,Chomutov město,50.4699249,13.413949
2104,Chomutov město,50.4700127,13.41422
2626,Chomutov,Aquasvět,50.4685936,13.4264946
2626,Chomutov,Aquasvět,50.4685936,13.4264946
11000,Chomutov,Autoškola,50.4665527,13.3912144
11000,Chomutov,Autoškola,50.4665527,13.3912144
483,Chomutov,Bezručova,50.4653,13.4028082
483,Chomutov,Bezručova,50.4652,13.4036169
11001,Chomutov,Blatenská,50.4654846,13.4101534
11001,Chomutov,Blatenská,50.4652,13.4102364
11002,Chomutov,Březenec,50.4952736,13.4166164
11002,Chomutov,Březenec,50.4952736,13.4166164
11004,Chomutov,Březenec,U rybníka,50.4941826,13.4142857
11004,Chomutov,Březenec,U rybníka,50.4941826,13.4142857
11003,Chomutov,Březenec,škola,50.49606,13.422677
11003,Chomutov,Březenec,škola,50.4961853,13.4227647
11005,Chomutov,Březenecká I,50.47371,13.4109163
11005,Chomutov,Březenecká I,50.4734535,13.4111061
11006,Chomutov,Březenecká II,50.4796562,13.41739
11006,Chomutov,Březenecká II,50.4798661,13.4170542
11011,Chomutov,Chomutov,žel.zast.,50.4687424,13.4143553
11012,Chomutov,Chomutovka,50.4610367,13.4133272
485,Chomutov,Dukelská I,50.4576073,13.4253874
485,Chomutov,Dukelská I,50.4574661,13.4259768
